Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.779
Comp. Cola Columna,Cu 324.75,0.768
Barren,Cu 324.75,0.728
Cabeza puntual retorno,Cu 324.75,0.721
Columna #2,Cu 324.75,0.763
Columna #3,Cu 324.75,0.759
Columna #4,Cu 324.75,0.753
Columna #5,Cu 324.75,0.762
Celda # 11-A,Cu 324.75,0.988
Celda # 11-B,Cu 324.75,0.366
Celda # 11-C,Cu 324.75,0.766
Celda #5-9,Cu 324.75,2.281
Celda #(F1+F2),Cu 324.75,0.704
NE Tubo 1,Cu 324.75,0.187
NE Tubo 2,Cu 324.75,0.463
NE Tubo 4,Cu 324.75,0.284
NE Tubo 5,Cu 324.75,0.256
NE Tubo 6,Cu 324.75,1.262
NE Tubo 7,Cu 324.75,0.796
Puntual Noroeste,Cu 324.75,0.656
Barren Patios,Cu 324.75,0.752
Tubo 3,Cu 324.75,0.845
Especial 1,Cu 324.75,3.489
Especial 2,Cu 324.75,0.018
Especial 3,Cu 324.75,0.25
Especial 4,Cu 324.75,0.252
Especial 5,Cu 324.75,0.625
