Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.161
Comp. Cola Columna,Au 242.80,0.008
Barren,Au 242.80,0.009
Cabeza puntual retorno,Au 242.80,0.163
Celda # 11-A,Au 242.80,0.023
Celda # 11-B,Au 242.80,0.206
Celda # 11-C,Au 242.80,0.118
Celda # 6-F2,Au 242.80,0.032
Celda #5-9,Au 242.80,0.018
Celda #(F1+F2),Au 242.80,0.165
NE Tubo 1,Au 242.80,0.171
NE Tubo 2,Au 242.80,0.103
NE Tubo 4,Au 242.80,0.228
NE Tubo 5,Au 242.80,0.215
NE Tubo 6,Au 242.80,0.084
NE Tubo 7,Au 242.80,0.146
Puntual Noroeste,Au 242.80,0.164
Barren Patios,Au 242.80,0.006
Tubo 3,Au 242.80,0.175
Especial 1,Au 242.80,0.041
Especial 2,Au 242.80,0.021
Especial 3,Au 242.80,0.018
Especial 4,Au 242.80,0.029
Especial 5,Au 242.80,0.013
Especial 6,Au 242.80,0.017
