Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,0.127
Comp. Cola Columna,Cu 324.75,0.169
Barren,Cu 324.75,0.216
Cabeza puntual retorno,Cu 324.75,0.246
Celda # 11-A,Cu 324.75,0.305
Celda # 11-B,Cu 324.75,0.194
Celda # 11-C,Cu 324.75,0.166
Celda # 6-F2,Cu 324.75,0.215
Celda #5-9,Cu 324.75,0.173
Celda #(F1+F2),Cu 324.75,0.298
NE Tubo 1,Cu 324.75,0.187
NE Tubo 2,Cu 324.75,0.318
NE Tubo 4,Cu 324.75,0.243
NE Tubo 5,Cu 324.75,0.253
NE Tubo 6,Cu 324.75,0.596
NE Tubo 7,Cu 324.75,0.331
Puntual Noroeste,Cu 324.75,0.349
Barren Patios,Cu 324.75,0.333
Tubo 3,Cu 324.75,0.359
Especial 1,Cu 324.75,0.255
Especial 2,Cu 324.75,0.23
Especial 3,Cu 324.75,0.451
Especial 4,Cu 324.75,1.082
Especial 5,Cu 324.75,0.433
Especial 6,Cu 324.75,1.802
