Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.091
Comp. Cola Columna,Au 242.80,0.009
Barren,Au 242.80,0.017
Cabeza puntual retorno,Au 242.80,0.089
Celda # 11-A,Au 242.80,0.071
Celda # 11-B,Au 242.80,0.028
Celda # 11-C,Au 242.80,0.021
Celda # 6-F2,Au 242.80,0.193
Celda #5-9,Au 242.80,0.069
Celda #(F1+F2),Au 242.80,0.049
NE Tubo 1,Au 242.80,0.011
NE Tubo 2,Au 242.80,0.032
NE Tubo 4,Au 242.80,0.055
NE Tubo 5,Au 242.80,0.033
NE Tubo 6,Au 242.80,0.16
NE Tubo 7,Au 242.80,0.062
Puntual Noroeste,Au 242.80,0.064
Barren Patios,Au 242.80,0.008
Tubo 3,Au 242.80,0.078
Especial 1,Au 242.80,0.269
Especial 2,Au 242.80,0.304
Especial 3,Au 242.80,0.043
Especial 4,Au 242.80,0.062
Especial 5,Au 242.80,0.241
Especial 6,Au 242.80,0.011
