Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.451
Cabeza puntual retorno,Cu 324.75,0.447
Celda #(F1+F2),Cu 324.75,0.502
Puntual Noroeste,Cu 324.75,0.405
Tubo 3,Cu 324.75,0.795
NE Tubo 2,Cu 324.75,0.061
NE Tubo 4,Cu 324.75,0.13
Especial 1,Cu 324.75,0.053
Especial 2,Cu 324.75,0.07
Especial 3,Cu 324.75,0.126
Especial 4,Cu 324.75,0.125
Especial 5,Cu 324.75,0.069
Comp. Cola Columna,Cu 324.75,0.461
Barren,Cu 324.75,0.526
Barren Patios,Cu 324.75,0.56
NE Tubo 1,Cu 324.75,0.054
NE Tubo 5,Cu 324.75,0.058
NE Tubo 6,Cu 324.75,0.075
NE Tubo 7,Cu 324.75,0.333
Celda # 11-A,Cu 324.75,0.094
Celda # 11-B,Cu 324.75,0.165
Celda # 11-C,Cu 324.75,0.092
Celda # 6-F2,Cu 324.75,1.148
Celda #5-9,Cu 324.75,0.311
