Analyst,,,,,
Date Started,4/29/2023 12:17 AM  GMT: 4/29/2023 7:17 AM,,,,
Worksheet,LC000505_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
4/29/2023,01:11:24 a. m.,PATRON,0.873,,mg/L
4/29/2023,01:11:38 a. m.,BLANCO,-0.004,,mg/L
4/29/2023,01:11:52 a. m.,REAGENT BLANK,0.001,,mg/L
4/29/2023,01:12:06 a. m.,LC000505-001,0.381,,mg/L
4/29/2023,01:12:18 a. m.,LC000505-002,0.129,,mg/L
4/29/2023,01:12:30 a. m.,LC000505-003,0.243,,mg/L
4/29/2023,01:12:46 a. m.,LC000505-004,0.227,,mg/L
4/29/2023,01:12:56 a. m.,LC000505-005,0.146,,mg/L
4/29/2023,01:11:24 a. m.,LC000505-006,0.305,,mg/L
4/29/2023,01:11:38 a. m.,PATRON,0.892,,mg/L
4/29/2023,01:11:52 a. m.,LC000505-007,0.049,,mg/L
4/29/2023,01:12:06 a. m.,LC000505-008,0.661,,mg/L
4/29/2023,01:12:18 a. m.,LC000505-009,0.076,,mg/L
4/29/2023,01:12:30 a. m.,LC000505-010,0.126,,mg/L
4/29/2023,01:12:46 a. m.,LC000505-011,0.099,,mg/L
4/29/2023,01:12:56 a. m.,LC000505-012,0.078,,mg/L
4/29/2023,01:11:24 a. m.,PATRON,0.882,,mg/L
4/29/2023,01:11:38 a. m.,LC000505-013,0.433,,mg/L
4/29/2023,01:11:52 a. m.,LC000505-014,0.271,,mg/L
4/29/2023,01:12:06 a. m.,LC000505-015,0.347,,mg/L
4/29/2023,01:12:18 a. m.,LC000505-016,0.211,,mg/L
4/29/2023,01:12:30 a. m.,LC000505-017,0.227,,mg/L
4/29/2023,01:12:46 a. m.,LC000505-018,0.181,,mg/L
4/29/2023,01:12:56 a. m.,PATRON,0.887,,mg/L
4/29/2023,01:11:24 a. m.,LC000505-019,0.016,,mg/L
4/29/2023,01:11:38 a. m.,LC000505-020,1.771,,mg/L
4/29/2023,01:11:52 a. m.,LC000505-021,1.320,,mg/L
4/29/2023,01:12:06 a. m.,LC000505-022,0.011,,mg/L
4/29/2023,01:12:18 a. m.,LC000505-023,3.018,,mg/L
4/29/2023,01:12:30 a. m.,LC000505-024,0.209,,mg/L
4/29/2023,01:12:56 a. m.,PATRON,0.886,,mg/L
,,,,,
Method: Au ALTA (Flame),,,,,
