Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,1.278
Cabeza puntual retorno,Cu 324.75,1.261
Celda #(F1+F2),Cu 324.75,1.383
Puntual Noroeste,Cu 324.75,1.501
NE Tubo 2,Cu 324.75,0.44
NE Tubo 4,Cu 324.75,1.09
Especial 1,Cu 324.75,0.073
Especial 2,Cu 324.75,0.054
Especial 3,Cu 324.75,1.196
Especial 4,Cu 324.75,1.604
Especial 5,Cu 324.75,0.104
Comp. Cola Columna,Cu 324.75,1.151
Barren,Cu 324.75,1.292
Barren Patios,Cu 324.75,1.166
NE Tubo 1,Cu 324.75,0.052
NE Tubo 5,Cu 324.75,0.057
NE Tubo 6,Cu 324.75,0.148
NE Tubo 7,Cu 324.75,0.803
Celda # 11-A,Cu 324.75,0.196
Celda # 11-B,Cu 324.75,0.076
Celda # 11-C,Cu 324.75,0.255
Celda # 6-F2,Cu 324.75,1.041
Celda #5-9,Cu 324.75,0.327
