Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,0.624
Comp. Cola Columna,Cu 324.75,0.594
Barren,Cu 324.75,0.606
Cabeza puntual retorno,Cu 324.75,0.6
Celda # 11-A,Cu 324.75,0.183
Celda # 11-B,Cu 324.75,0.081
Celda # 11-C,Cu 324.75,0.104
Celda #5-9,Cu 324.75,0.784
Celda #(F1+F2),Cu 324.75,0.594
NE Tubo 1,Cu 324.75,0.046
NE Tubo 2,Cu 324.75,0.085
NE Tubo 4,Cu 324.75,0.15
NE Tubo 5,Cu 324.75,0.062
NE Tubo 6,Cu 324.75,0.059
NE Tubo 7,Cu 324.75,0.671
Puntual Noroeste,Cu 324.75,0.62
Barren Patios,Cu 324.75,0.611
NE Tubo  3,Cu 324.75,1.742
Especial 1,Cu 324.75,0.084
Especial 2,Cu 324.75,0.047
Especial 3,Cu 324.75,0.11
Especial 4,Cu 324.75,0.586
Especial 5,Cu 324.75,0.091
Especial 6,Cu 324.75,0.058
Columna #1,Cu 324.75,0.573
Columna #2,Cu 324.75,0.59
Columna #3,Cu 324.75,0.593
Columna #4,Cu 324.75,0.583
Columna #5,Cu 324.75,0.604
