Sample ID,Analyte Name,Reported Conc (Samp)
PPTDO MC LOTE 200,Fe,13.46
PPTDO MC LOTE 200,Cu ,4.367
PPTDO MC LOTE 200,Pb,1.76
PPTDO MC LOTE 200,Zn,728
PPTDO MC LOTE 200,Cd,0.062
