Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,1.58
Comp. Cola Columna,Cu 324.75,1.234
Barren,Cu 324.75,1.645
Cabeza puntual retorno,Cu 324.75,1.544
Celda # 11-A,Cu 324.75,15.6
Celda # 11-B,Cu 324.75,0.325
Celda # 11-C,Cu 324.75,0.384
Celda #5-9,Cu 324.75,0.176
Celda #(F1+F2),Cu 324.75,1.282
NE Tubo 1,Cu 324.75,0.178
NE Tubo 2,Cu 324.75,0.719
NE Tubo 4,Cu 324.75,0.672
NE Tubo 5,Cu 324.75,0.456
NE Tubo 6,Cu 324.75,0.375
NE Tubo 7,Cu 324.75,0.401
Puntual Noroeste,Cu 324.75,1.185
Barren Patios,Cu 324.75,1.706
Tubo 3,Cu 324.75,2.849
Especial 1,Cu 324.75,0.377
Especial 2,Cu 324.75,0.211
Especial 3,Cu 324.75,1.673
Especial 4,Cu 324.75,2.958
Especial 5,Cu 324.75,0.236
Columna #1,Cu 324.75,1.155
Columna #2,Cu 324.75,1.118
Columna #3,Cu 324.75,1.053
Columna #4,Cu 324.75,0.948
Columna #5,Cu 324.75,0.827
