Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.145
Comp. Cola Columna,Au 242.80,0.007
Barren,Au 242.80,0.012
Cabeza puntual retorno,Au 242.80,0.142
Celda # 11-A,Au 242.80,0.04
Celda # 11-B,Au 242.80,0.134
Celda # 11-C,Au 242.80,0.052
Celda #5-9,Au 242.80,0.036
Celda #(F1+F2),Au 242.80,0.146
NE Tubo 1,Au 242.80,0.002
NE Tubo 2,Au 242.80,0.107
NE Tubo 4,Au 242.80,0.083
NE Tubo 5,Au 242.80,0.018
NE Tubo 6,Au 242.80,0.018
NE Tubo 7,Au 242.80,0.191
Puntual Noroeste,Au 242.80,0.155
Barren Patios,Au 242.80,0.007
Tubo 3,Au 242.80,0.193
Especial 1,Au 242.80,0.096
Especial 2,Au 242.80,0.104
Especial 3,Au 242.80,0.01
Especial 4,Au 242.80,0.007
Especial 5,Au 242.80,0.091
Especial 6,Au 242.80,0.002
Columna #1,Au 242.80,0.092
Columna #2,Au 242.80,0.058
Columna #3,Au 242.80,0.033
Columna #4,Au 242.80,0.016
Columna #5,Au 242.80,0.003
