Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Ag 328.07,0.407
Comp. Cola Columna,Ag 328.07,0.265
Barren,Ag 328.07,0.288
Cabeza puntual retorno,Ag 328.07,0.385
Columna #1,Ag 328.07,0.389
Columna #2,Ag 328.07,0.369
Columna #3,Ag 328.07,0.363
Columna #4,Ag 328.07,0.34
Columna #5,Ag 328.07,0.258
Celda # 11-A,Ag 328.07,0.648
Celda # 11-B,Ag 328.07,0.021
Celda # 11-C,Ag 328.07,0.235
Celda #5-9,Ag 328.07,0.445
Celda #(F1+F2),Ag 328.07,0.388
NE Tubo 1,Ag 328.07,0.021
NE Tubo 2,Ag 328.07,0.922
NE Tubo 4,Ag 328.07,0.916
NE Tubo 5,Ag 328.07,0.307
NE Tubo 6,Ag 328.07,0.697
NE Tubo 7,Ag 328.07,0.164
Puntual Noroeste,Ag 328.07,0.455
Barren Patios,Ag 328.07,0.259
Tubo 3,Ag 328.07,0.238
Especial 1,Ag 328.07,0.097
Especial 2,Ag 328.07,0.389
Especial 3,Ag 328.07,0.021
Especial 4,Ag 328.07,0.035
Especial 5,Ag 328.07,0.259
