Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.089
Cabeza puntual retorno,Au 242.80,0.087
Celda #(F1+F2),Au 242.80,0.102
Puntual Noroeste,Au 242.80,0.1
Tubo 3,Au 242.80,0.107
Comp. Cola Columna,Au 242.80,0.007
Barren,Au 242.80,0.005
Celda # 11-A,Au 242.80,0.006
Celda # 11-B,Au 242.80,0.003
Celda # 11-C,Au 242.80,0.025
Celda #5-9,Au 242.80,0.028
NE Tubo 1,Au 242.80,0.001
NE Tubo 2,Au 242.80,0.098
NE Tubo 4,Au 242.80,0.037
NE Tubo 5,Au 242.80,0.033
NE Tubo 6,Au 242.80,0.272
NE Tubo 7,Au 242.80,0.061
Barren Patios,Au 242.80,0.004
Especial 1,Au 242.80,0.064
Especial 2,Au 242.80,0.094
Especial 3,Au 242.80,0.034
Especial 4,Au 242.80,0.019
Especial 5,Au 242.80,0.091
Columna #1,Au 242.80,0.078
Columna #2,Au 242.80,0.061
Columna #3,Au 242.80,0.045
Columna #4,Au 242.80,0.02
Columna #5,Au 242.80,0.01
