Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Ag 328.07,0.348
Comp. Cola Columna,Ag 328.07,0.138
Barren,Ag 328.07,0.166
Cabeza puntual retorno,Ag 328.07,0.307
Columna #1,Ag 328.07,0.319
Columna #2,Ag 328.07,0.3
Columna #3,Ag 328.07,0.268
Columna #4,Ag 328.07,0.196
Columna #5,Ag 328.07,0.129
Celda # 11-A,Ag 328.07,0.036
Celda # 11-B,Ag 328.07,0.029
Celda # 11-C,Ag 328.07,0.208
Celda #5-9,Ag 328.07,0.039
Celda #(F1+F2),Ag 328.07,0.355
NE Tubo 1,Ag 328.07,0.029
NE Tubo 2,Ag 328.07,0.11
NE Tubo 4,Ag 328.07,0.047
NE Tubo 5,Ag 328.07,0.027
NE Tubo 6,Ag 328.07,0.019
NE Tubo 7,Ag 328.07,0.161
Puntual Noroeste,Ag 328.07,0.094
Barren Patios,Ag 328.07,0.131
Tubo 3,Ag 328.07,0.145
Especial 1,Ag 328.07,0.202
Especial 2,Ag 328.07,0.032
Especial 3,Ag 328.07,0.042
Especial 4,Ag 328.07,0.029
Especial 5,Ag 328.07,0.131
