Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,1.363
Comp. Cola Columna,Cu 324.75,1.807
Barren,Cu 324.75,1.555
Cabeza puntual retorno,Cu 324.75,1.337
Celda # 11-A,Cu 324.75,0.410
Celda # 11-B,Cu 324.75,0.496
Celda # 11-C,Cu 324.75,0.057
Celda # 6-F2,Cu 324.75,0.248
Celda #5-9,Cu 324.75,5.660
Celda #(F1+F2),Cu 324.75,1.086
NE Tubo 1,Cu 324.75,0.027
NE Tubo 2,Cu 324.75,0.438
NE Tubo 4,Cu 324.75,0.116
NE Tubo 5,Cu 324.75,0.424
NE Tubo 6,Cu 324.75,1.668
NE Tubo 7,Cu 324.75,1.092
Puntual Noroeste,Cu 324.75,0.449
Barren Patios,Cu 324.75,1.494
Tubo 3,Cu 324.75,0.284
Especial 1,Cu 324.75,0.311
Especial 2,Cu 324.75,0.064
Especial 3,Cu 324.75,0.072
Especial 4,Cu 324.75,0.122
Especial 5,Cu 324.75,0.206
