Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,1.617
Comp. Cola Columna,Cu 324.75,1.758
Barren,Cu 324.75,1.867
Cabeza puntual retorno,Cu 324.75,1.546
Celda # 11-A,Cu 324.75,0.225
Celda # 11-B,Cu 324.75,18.40
Celda # 11-C,Cu 324.75,4.402
Celda # 6-F2,Cu 324.75,0.569
Celda #5-9,Cu 324.75,0.047
Celda #(F1+F2),Cu 324.75,1.016
NE Tubo 1,Cu 324.75,13.16
NE Tubo 2,Cu 324.75,0.500
NE Tubo 4,Cu 324.75,2.520
NE Tubo 5,Cu 324.75,1.214
NE Tubo 6,Cu 324.75,0.318
NE Tubo 7,Cu 324.75,1.260
Puntual Noroeste,Cu 324.75,1.048
Barren Patios,Cu 324.75,1.788
Tubo 3,Cu 324.75,0.232
Especial 1,Cu 324.75,0.061
Especial 2,Cu 324.75,0.036
Especial 3,Cu 324.75,0.083
Especial 4,Cu 324.75,0.116
Especial 5,Cu 324.75,0.052
,,
