Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,0.335
Comp. Cola Columna,Cu 324.75,0.475
Barren,Cu 324.75,0.363
Cabeza puntual retorno,Cu 324.75,0.305
Celda # 11-A,Cu 324.75,0.096
Celda # 11-B,Cu 324.75,0.071
Celda # 11-C,Cu 324.75,0.21
Celda #5-9,Cu 324.75,2.632
Celda #(F1+F2),Cu 324.75,0.282
NE Tubo 1,Cu 324.75,0.024
NE Tubo 2,Cu 324.75,0.115
NE Tubo 4,Cu 324.75,0.129
NE Tubo 5,Cu 324.75,0.086
NE Tubo 6,Cu 324.75,0.15
NE Tubo 7,Cu 324.75,0.197
Puntual Noroeste,Cu 324.75,0.143
Barren Patios,Cu 324.75,0.293
Tubo 3,Cu 324.75,0.247
Especial 1,Cu 324.75,0.073
Especial 2,Cu 324.75,0.063
Especial 3,Cu 324.75,0.094
Especial 4,Cu 324.75,0.104
Especial 5,Cu 324.75,0.157
Especial 6,Cu 324.75,0.042
Columna #1,Cu 324.75,0.314
Columna #2,Cu 324.75,0.345
Columna #3,Cu 324.75,0.37
Columna #4,Cu 324.75,0.352
Columna #5,Cu 324.75,0.39
