Analyst,Elizandell de la Vara,,,,
Date Started,24/6/2023 5:24 AM  GMT: 24/6/2023 5:24 AM,,,,
Worksheet,LC000548_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
24/06/2023,05:24:24 a. m.,PATRON,0.9015,,mg/L
24/06/2023,05:24:24 a. m.,BLANCO,0.0096,,mg/L
24/06/2023,05:24:24 a. m.,REAGENT BLANK,0,,mg/L
24/06/2023,05:24:24 a. m.,LC000548-002,0.114276195,,mg/L
24/06/2023,05:24:24 a. m.,LC000548-003,0.003333111,,mg/L
24/06/2023,05:24:24 a. m.,LC000548-005,0.001994747,,mg/L
24/06/2023,05:24:24 a. m.,LC000548-006,0.002666133,,mg/L
24/06/2023,05:24:24 a. m.,PATRON,0.892,,mg/L
24/06/2023,05:24:24 a. m.,LC000548-007,0.004328428,,mg/L
24/06/2023,05:24:24 a. m.,LC000548-008,0.002331932,,mg/L
24/06/2023,05:24:24 a. m.,LC000548-009,0,,mg/L
24/06/2023,05:24:24 a. m.,LC000548-010,0.128269199,,mg/L
24/06/2023,05:24:24 a. m.,LC000548-011,0.001998668,,mg/L
24/06/2023,05:24:24 a. m.,LC000548-012,0.002998501,,mg/L
24/06/2023,05:24:24 a. m.,PATRON,0.9,,mg/L
24/06/2023,05:24:24 a. m.,LC000548-013,0.004326123,,mg/L
24/06/2023,05:24:24 a. m.,LC000548-014,0.007664367,,mg/L
24/06/2023,05:24:24 a. m.,LC000548-015,0.001999533,,mg/L
24/06/2023,05:24:24 a. m.,LC000548-016,0.000999101,,mg/L
24/06/2023,05:24:24 a. m.,LC000548-017,0.0023331,,mg/L
24/06/2023,05:24:24 a. m.,LC000548-018,0.002328986,,mg/L
24/06/2023,05:24:24 a. m.,PATRON,0.918,,mg/L
24/06/2023,05:24:24 a. m.,LC000548-019,0.001665279,,mg/L
24/06/2023,05:24:24 a. m.,LC000548-020,0.00133178,,mg/L
24/06/2023,05:24:24 a. m.,LC000548-021,0.003991087,,mg/L
24/06/2023,05:24:24 a. m.,LC000548-022,1.021951301,,mg/L
24/06/2023,05:24:24 a. m.,LC000548-023,0.016983017,,mg/L
24/06/2023,05:24:24 a. m.,LC000548-024,0.002658867,,mg/L
24/06/2023,05:24:24 a. m.,PATRON,0.898,,mg/L
,,,,,
Method: Au ALTA (Flame),,,,,
