Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,1.845
Comp. Cola Columna,Cu 324.75,1.771
Barren,Cu 324.75,1.734
Cabeza puntual retorno,Cu 324.75,1.716
Celda # 11-A,Cu 324.75,0.408
Celda # 11-B,Cu 324.75,0.301
Celda # 11-C,Cu 324.75,0.099
Celda # 6-F2,Cu 324.75,7.263
Celda #5-9,Cu 324.75,3.85
Celda #(F1+F2),Cu 324.75,1.818
NE Tubo 1,Cu 324.75,0.106
NE Tubo 2,Cu 324.75,0.112
NE Tubo 4,Cu 324.75,0.124
NE Tubo 5,Cu 324.75,0.101
NE Tubo 6,Cu 324.75,0.341
NE Tubo 7,Cu 324.75,3.643
Puntual Noroeste,Cu 324.75,1.59
Barren Patios,Cu 324.75,1.578
Tubo 3,Cu 324.75,2.851
Especial 1,Cu 324.75,2.457
Especial 2,Cu 324.75,0.325
Especial 3,Cu 324.75,0.215
Especial 4,Cu 324.75,0.338
Especial 5,Cu 324.75,0.84
Especial 6,Cu 324.75,0.123
