Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.125
Comp. Cola Columna,Au 242.80,0.01
Barren,Au 242.80,0.01
Cabeza puntual retorno,Au 242.80,0.125
Columna #1,Au 242.80,0.087
Columna #2,Au 242.80,0.056
Columna #3,Au 242.80,0.042
Columna #4,Au 242.80,0.026
Columna #5,Au 242.80,0.01
Celda # 11-A,Au 242.80,0.163
Celda # 11-B,Au 242.80,0.023
Celda # 11-C,Au 242.80,0.156
Celda #5-9,Au 242.80,0.052
Celda #(F1+F2),Au 242.80,0.124
NE Tubo 1,Au 242.80,0.015
NE Tubo 2,Au 242.80,0.105
NE Tubo 4,Au 242.80,0.191
NE Tubo 5,Au 242.80,0.226
NE Tubo 6,Au 242.80,0.359
NE Tubo 7,Au 242.80,0.096
Puntual Noroeste,Au 242.80,0.141
Tubo 3,Au 242.80,0.059
Especial 1,Au 242.80,0.051
Especial 2,Au 242.80,0.047
Especial 3,Au 242.80,0.01
Especial 4,Au 242.80,0.014
Especial 5,Au 242.80,0.047
Barren Patios,Au 242.80,0.005
