Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,1.482
Comp. Cola Columna,Cu 324.75,1.522
Barren,Cu 324.75,1.465
Cabeza puntual retorno,Cu 324.75,1.475
Columna #1,Cu 324.75,1.358
Columna #2,Cu 324.75,1.324
Columna #3,Cu 324.75,1.306
Columna #4,Cu 324.75,1.302
Columna #5,Cu 324.75,1.271
Celda # 11-A,Cu 324.75,0.654
Celda # 11-B,Cu 324.75,0.073
Celda # 11-C,Cu 324.75,0.028
Celda #5-9,Cu 324.75,1.847
Celda #(F1+F2),Cu 324.75,1.954
NE Tubo 2,Cu 324.75,0.047
NE Tubo 4,Cu 324.75,0.669
NE Tubo 5,Cu 324.75,0.421
NE Tubo 6,Cu 324.75,2.194
NE Tubo 7,Cu 324.75,4.57
Puntual Noroeste,Cu 324.75,1.771
Barren Patios,Cu 324.75,1.419
Tubo 3,Cu 324.75,2.608
Especial 1,Cu 324.75,0.443
Especial 2,Cu 324.75,0.058
Especial 3,Cu 324.75,0.056
Especial 4,Cu 324.75,0.2
Especial 5,Cu 324.75,0.166
Especial 6,Cu 324.75,0.015
NE Tubo 1,Cu 324.75,0.018
