Sample ID,Analyte Name,Reported Conc (Samp)
Columna #1,Au 242.80,0.115
Columna #2,Au 242.80,0.099
Columna #3,Au 242.80,0.072
Columna #4,Au 242.80,0.042
Columna #5,Au 242.80,0.017
Cabeza puntual retorno,Au 242.80,0.12
Celda #(F1+F2),Au 242.80,0.099
Puntual Noroeste,Au 242.80,0.111
Comp. Cola Columna,Au 242.80,0.021
Comp. Cabeza Columna,Au 242.80,0.118
Barren,Au 242.80,0.026
Celda # 11-A,Au 242.80,0.024
Celda # 11-B,Au 242.80,0.014
Celda # 11-C,Au 242.80,0.162
Celda #5-9,Au 242.80,0.515
NE Tubo 1,Au 242.80,0.17
NE Tubo 2,Au 242.80,0.09
NE Tubo 4,Au 242.80,0.008
NE Tubo 5,Au 242.80,0.022
NE Tubo 6,Au 242.80,0.029
NE Tubo 7,Au 242.80,0.03
Barren Patios,Au 242.80,0.033
Especial 1,Au 242.80,0.314
Tubo 3,Au 242.80,0.142
Especial 2,Au 242.80,0.318
Especial 3,Au 242.80,0.011
Especial 4,Au 242.80,0.002
Especial 5,Au 242.80,0.302
