Analyst,,,,,,
Date Started,5/23/2025 3:07 AM  GMT: 5/23/2025 10:07 AM,,,,,
Worksheet,LC004530_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
5/23/2025,3:19:50 AM,PATRON,0.9116,,mg/L,0.9
5/23/2025,3:20:04 AM,BLANCO,-0.0084,,mg/L,59.9
5/23/2025,3:20:18 AM,REAGENT BLANK,0,,mg/L,>100
5/23/2025,3:20:44 AM,LC004530-001,0.0056,,mg/L,16.5
5/23/2025,3:20:58 AM,LC004530-002,0.0745,,mg/L,2.2
5/23/2025,3:21:12 AM,LC004530-003,0.1129,,mg/L,1.5
5/23/2025,3:21:28 AM,LC004530-004,0.0451,,mg/L,5.9
5/23/2025,3:21:44 AM,LC004530-005,0.0656,,mg/L,4.1
5/23/2025,3:21:58 AM,LC004530-006,0.0043,,mg/L,51.6
5/23/2025,3:22:14 AM,PATRON,0.9086,,mg/L,0.6
5/23/2025,3:22:32 AM,LC004530-007,0.1039,,mg/L,0.6
5/23/2025,3:22:46 AM,LC004530-008,0.0049,,mg/L,33
5/23/2025,3:23:00 AM,LC004530-009,0.0083,,mg/L,11.9
5/23/2025,3:23:14 AM,LC004530-010,0.1142,,mg/L,1.1
5/23/2025,3:23:28 AM,LC004530-011,0.0296,,mg/L,3.3
5/23/2025,3:23:42 AM,LC004530-012,0.0663,,mg/L,1.4
5/23/2025,3:23:56 AM,PATRON,0.8946,,mg/L,1
5/23/2025,3:24:12 AM,LC004530-013,0.4358,,mg/L,0.3
5/23/2025,3:24:28 AM,PATRON,0.8977,,mg/L,0.8
5/23/2025,3:24:44 AM,BLANCO,0.0042,,mg/L,25.8
5/23/2025,3:24:52 AM,REAGENT BLANK,0,,mg/L,34.3
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
