Sample ID,Analyte Name,Reported Conc (Samp)
Columna #1,Cu 324.75,0.806
Columna #2,Cu 324.75,0.781
Columna #3,Cu 324.75,0.800
Columna #4,Cu 324.75,0.789
Columna #5,Cu 324.75,0.814
Comp. Cabeza Columna,Cu 324.75,0.886
Comp. Cola Columna,Cu 324.75,0.876
Barren,Cu 324.75,0.938
Cabeza puntual retorno,Cu 324.75,0.931
Celda # 11-A,Cu 324.75,4.322
Celda # 11-B,Cu 324.75,0.224
Celda # 11-C,Cu 324.75,0.220
Celda #5-9,Cu 324.75,0.665
Celda #(F1+F2),Cu 324.75,0.381
NE Tubo 1,Cu 324.75,0.163
NE Tubo 2,Cu 324.75,0.233
NE Tubo 4,Cu 324.75,0.288
NE Tubo 5,Cu 324.75,0.202
NE Tubo 6,Cu 324.75,0.187
NE Tubo 7,Cu 324.75,0.659
Puntual Noroeste,Cu 324.75,0.378
Barren Patios,Cu 324.75,0.879
Tubo 3,Cu 324.75,0.352
Especial 1,Cu 324.75,0.297
Especial 2,Cu 324.75,0.290
Especial 3,Cu 324.75,3.671
Especial 4,Cu 324.75,0.511
Especial 5,Cu 324.75,0.290
