Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,1.111
Comp. Cola Columna,Cu 324.75,1.028
Barren,Cu 324.75,1.052
Cabeza puntual retorno,Cu 324.75,1.104
Celda # 11-A,Cu 324.75,0.118
Celda # 11-B,Cu 324.75,0.052
Celda # 11-C,Cu 324.75,0.042
Celda # 6-F2,Cu 324.75,0.026
Celda #5-9,Cu 324.75,0.669
Celda #(F1+F2),Cu 324.75,1.515
NE Tubo 1,Cu 324.75,0.041
NE Tubo 2,Cu 324.75,0.138
NE Tubo 4,Cu 324.75,0.034
NE Tubo 5,Cu 324.75,1.325
NE Tubo 6,Cu 324.75,6.116
NE Tubo 7,Cu 324.75,2.679
Puntual Noroeste,Cu 324.75,1.529
Barren Patios,Cu 324.75,1.07
Tubo 3,Cu 324.75,1.239
Especial 1,Cu 324.75,0.113
Especial 2,Cu 324.75,0.035
Especial 3,Cu 324.75,0.124
Especial 4,Cu 324.75,0.169
Especial 5,Cu 324.75,0.098
Especial 6,Cu 324.75,0.02
