Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.181
Comp. Cola Columna,Au 242.80,0.039
Barren,Au 242.80,0.04
Cabeza puntual retorno,Au 242.80,0.183
Celda # 11-A,Au 242.80,0.176
Celda # 11-B,Au 242.80,0.218
Celda # 11-C,Au 242.80,0.096
Celda #5-9,Au 242.80,0.024
Celda #(F1+F2),Au 242.80,0.173
NE Tubo 1,Au 242.80,0.141
NE Tubo 2,Au 242.80,0.101
NE Tubo 4,Au 242.80,0.226
NE Tubo 5,Au 242.80,0.223
NE Tubo 6,Au 242.80,0.11
NE Tubo 7,Au 242.80,0.232
Puntual Noroeste,Au 242.80,0.168
Tubo 3,Au 242.80,0.15
Especial 1,Au 242.80,0.036
Especial 2,Au 242.80,0.026
Especial 3,Au 242.80,0.015
Especial 4,Au 242.80,0.019
Especial 5,Au 242.80,0.015
