Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.148
Comp. Cola Columna,Au 242.80,0.009
Barren,Au 242.80,0.012
Cabeza puntual retorno,Au 242.80,0.15
Celda # 11-A,Au 242.80,0.053
Celda # 11-B,Au 242.80,0.128
Celda # 11-C,Au 242.80,0.09
Celda # 6-F2,Au 242.80,0.052
Celda #5-9,Au 242.80,0.068
Celda #(F1+F2),Au 242.80,0.152
NE Tubo 1,Au 242.80,0.004
NE Tubo 2,Au 242.80,0.155
NE Tubo 4,Au 242.80,0.08
NE Tubo 5,Au 242.80,0.085
NE Tubo 6,Au 242.80,0.089
NE Tubo 7,Au 242.80,0.302
Puntual Noroeste,Au 242.80,0.165
Barren Patios,Au 242.80,0.009
Tubo 3,Au 242.80,0.159
Especial 1,Au 242.80,0.084
Especial 2,Au 242.80,0.092
Especial 3,Au 242.80,0.015
Especial 4,Au 242.80,0.009
Especial 5,Au 242.80,0.061
Especial 6,Au 242.80,0.002
