Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,1.862
Comp. Cola Columna,Cu 324.75,1.726
Barren,Cu 324.75,1.657
Cabeza puntual retorno,Cu 324.75,1.74
Celda # 11-A,Cu 324.75,0.201
Celda # 11-B,Cu 324.75,0.04
Celda # 11-C,Cu 324.75,0.033
Celda # 6-F2,Cu 324.75,0.034
Celda #5-9,Cu 324.75,0.788
Celda #(F1+F2),Cu 324.75,1.986
NE Tubo 1,Cu 324.75,0.019
NE Tubo 2,Cu 324.75,0.233
NE Tubo 4,Cu 324.75,1.012
NE Tubo 5,Cu 324.75,1.202
NE Tubo 6,Cu 324.75,7.23
NE Tubo 7,Cu 324.75,1.043
Puntual Noroeste,Cu 324.75,2.027
Barren Patios,Cu 324.75,1.809
Tubo 3,Cu 324.75,1.647
Especial 1,Cu 324.75,0.074
Especial 2,Cu 324.75,0.032
Especial 3,Cu 324.75,0.26
Especial 4,Cu 324.75,1.315
Especial 5,Cu 324.75,0.053
