Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cab Columna,Cu 324.75,0.961
Comp. Cola Columna,Cu 324.75,0.892
Barren,Cu 324.75,0.938
Cabeza puntual retorno,Cu 324.75,0.994
Celda # 11-A,Cu 324.75,0.539
Celda # 11-B,Cu 324.75,0.81
Celda # 11-C,Cu 324.75,1.382
Celda # 6-F2,Cu 324.75,0.161
Celda #5-9,Cu 324.75,2.704
Celda #(F1+F2),Cu 324.75,0.97
NE Tubo 1,Cu 324.75,0.141
NE Tubo 2,Cu 324.75,0.522
NE Tubo 4,Cu 324.75,0.522
NE Tubo 5,Cu 324.75,0.191
NE Tubo 6,Cu 324.75,0.631
NE Tubo 7,Cu 324.75,3.651
Puntual Noroeste,Cu 324.75,0.945
Barren Patios,Cu 324.75,0.813
Tubo 3,Cu 324.75,0.844
Especial 1,Cu 324.75,2.024
Especial 2,Cu 324.75,0.192
Especial 3,Cu 324.75,0.175
Especial 4,Cu 324.75,0.209
Especial 5,Cu 324.75,0.182
Especial 6,Cu 324.75,0.173
