Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.115
Comp. Cola Columna,Au 242.80,0.009
Barren,Au 242.80,0.012
Cabeza puntual retorno,Au 242.80,0.116
Celda # 11-A,Au 242.80,0.011
Celda # 11-B,Au 242.80,0.012
Celda # 11-C,Au 242.80,0.005
Celda # 6-F2,Au 242.80,0.016
Celda #5-9,Au 242.80,0.048
Celda #(F1+F2),Au 242.80,0.12
NE Tubo 1,Au 242.80,0.002
NE Tubo 2,Au 242.80,0.061
NE Tubo 4,Au 242.80,0.162
NE Tubo 5,Au 242.80,0.162
NE Tubo 6,Au 242.80,0.046
NE Tubo 7,Au 242.80,0.138
Puntual Noroeste,Au 242.80,0.121
Barren Patios,Au 242.80,0.017
Tubo 3,Au 242.80,0.125
Especial 1,Au 242.80,0.064
Especial 2,Au 242.80,0.05
Especial 3,Au 242.80,0.011
Especial 4,Au 242.80,0.027
Especial 5,Au 242.80,0.061
Especial 6,Au 242.80,0.003
Pileta Patio,Au 242.80,0.117
