Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.085
Comp. Cola Columna,Au 242.80,0.006
Barren,Au 242.80,0.013
Cabeza puntual retorno,Au 242.80,0.088
Celda # 11-A,Au 242.80,0.011
Celda # 11-B,Au 242.80,0.002
Celda # 11-C,Au 242.80,0.002
Celda #5-9,Au 242.80,0.06
Celda #(F1+F2),Au 242.80,0.089
NE Tubo 1,Au 242.80,0.017
NE Tubo 2,Au 242.80,0.134
NE Tubo 4,Au 242.80,0.054
NE Tubo 5,Au 242.80,0.045
NE Tubo 6,Au 242.80,0.017
NE Tubo 7,Au 242.80,0.034
Puntual Noroeste,Au 242.80,0.073
Barren Patios,Au 242.80,0.009
Tubo 3,Au 242.80,0.13
Especial 1,Au 242.80,0.056
Especial 2,Au 242.80,0.034
Especial 3,Au 242.80,0.002
Especial 4,Au 242.80,0.015
Especial 5,Au 242.80,0.044
Especial 6,Au 242.80,0.005
Columna #1,Au 242.80,0.073
Columna #2,Au 242.80,0.043
Columna #3,Au 242.80,0.026
Columna #4,Au 242.80,0.015
Columna #5,Au 242.80,0.002
