Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,2.512
Comp. Cola Columna,Cu 324.75,2.680
Barren,Cu 324.75,2.384
Cabeza puntual retorno,Cu 324.75,2.563
Celda # 11-A,Cu 324.75,0.540
Celda # 11-B,Cu 324.75,0.002
Celda # 11-C,Cu 324.75,0.002
Celda # 6-F2,Cu 324.75,0.015
Celda #5-9,Cu 324.75,3.266
Celda #(F1+F2),Cu 324.75,2.728
NE Tubo 1,Cu 324.75,0.011
NE Tubo 2,Cu 324.75,0.102
NE Tubo 4,Cu 324.75,2.076
NE Tubo 5,Cu 324.75,10.900
NE Tubo 6,Cu 324.75,7.116
NE Tubo 7,Cu 324.75,0.819
Puntual Noroeste,Cu 324.75,2.712
Barren Patios,Cu 324.75,2.311
Tubo 3,Cu 324.75,1.387
Especial 1,Cu 324.75,0.885
Especial 2,Cu 324.75,0.020
Especial 3,Cu 324.75,1.054
Especial 4,Cu 324.75,0.300
Especial 5,Cu 324.75,3.652
Especial 6,Cu 324.75,0.051
