Sample ID,Analyte Name,Reported Conc (Samp)
Columna #1,Cu 324.75,0.554
Columna #2,Cu 324.75,0.549
Columna #3,Cu 324.75,0.551
Columna #4,Cu 324.75,0.533
Columna #5,Cu 324.75,0.550
Comp. Cabeza Columna,Cu 324.75,0.493
Comp. Cola Columna,Cu 324.75,0.642
Barren,Cu 324.75,0.591
Cabeza puntual retorno,Cu 324.75,0.493
Celda # 11-A,Cu 324.75,0.277
Celda # 11-B,Cu 324.75,0.096
Celda # 11-C,Cu 324.75,0.584
Celda #5-9,Cu 324.75,3.446
Celda #(F1+F2),Cu 324.75,0.493
NE Tubo 1,Cu 324.75,0.027
NE Tubo 2,Cu 324.75,0.081
NE Tubo 4,Cu 324.75,0.094
NE Tubo 5,Cu 324.75,0.822
NE Tubo 6,Cu 324.75,3.158
NE Tubo 7,Cu 324.75,2.554
Puntual Noroeste,Cu 324.75,0.635
Barren Patios,Cu 324.75,0.704
Tubo 3,Cu 324.75,0.344
Especial 1,Cu 324.75,0.078
Especial 2,Cu 324.75,0.042
Especial 3,Cu 324.75,0.054
Especial 4,Cu 324.75,0.063
Especial 5,Cu 324.75,0.187
