Sample ID,Analyte Name,Reported Conc (Samp)
NE Tubo 1,Cu 324.75,0.074
Comp. Cola Columna,Cu 324.75,0.321
Barren,Cu 324.75,0.417
Especial 2,Cu 324.75,0.106
Cabeza puntual retorno,Cu 324.75,0.357
Celda # 11-A,Cu 324.75,0.138
Celda # 11-B,Cu 324.75,0.118
Celda # 11-C,Cu 324.75,0.796
Celda # 6-F2,Cu 324.75,1.23
Celda #5-9,Cu 324.75,0.087
Celda #(F1+F2),Cu 324.75,0.295
NE Tubo 2,Cu 324.75,0.118
NE Tubo 4,Cu 324.75,0.159
NE Tubo 5,Cu 324.75,0.102
NE Tubo 6,Cu 324.75,0.097
NE Tubo 7,Cu 324.75,0.184
Puntual Noroeste,Cu 324.75,0.096
Barren Patios,Cu 324.75,0.427
Tubo 3,Cu 324.75,0.1
Especial 1,Cu 324.75,0.104
Especial 3,Cu 324.75,0.419
Especial 4,Cu 324.75,1.335
Especial 5,Cu 324.75,0.251
Cabeza 8:00 pm,Cu 324.75,0.371
Cola 8:00 pm,Cu 324.75,0.278
Cabeza 12:00 am,Cu 324.75,0.305
Cola 12:00 am,Cu 324.75,0.313
Cabeza 4:00 am,Cu 324.75,0.333
Cola 4:00 am,Cu 324.75,0.342
Comp. Cabeza Columna,Cu 324.75,0.406
