Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.836
Cabeza puntual retorno,Cu 324.75,0.711
Celda #(F1+F2),Cu 324.75,0.659
Puntual Noroeste,Cu 324.75,0.835
Tubo 3,Cu 324.75,0.143
NE Tubo 2,Cu 324.75,0.046
NE Tubo 4,Cu 324.75,1.141
Especial 1,Cu 324.75,0.058
Especial 2,Cu 324.75,0.165
Especial 3,Cu 324.75,0.076
Especial 4,Cu 324.75,0.064
Especial 5,Cu 324.75,1.127
Comp. Cola Columna,Cu 324.75,0.473
Barren,Cu 324.75,0.624
Barren Patios,Cu 324.75,0.609
NE Tubo 1,Cu 324.75,0.039
NE Tubo 5,Cu 324.75,0.49
NE Tubo 6,Cu 324.75,1.683
NE Tubo 7,Cu 324.75,1.691
Celda # 11-A,Cu 324.75,0.059
Celda # 11-B,Cu 324.75,1.078
Celda # 11-C,Cu 324.75,2.688
Celda # 6-F2,Cu 324.75,0.023
Celda #5-9,Cu 324.75,1.99
