Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.119
Comp. Cola Columna,Au 242.80,0.002
Barren,Au 242.80,0.002
Cabeza puntual retorno,Au 242.80,0.117
Celda # 11-A,Au 242.80,0.037
Celda # 11-B,Au 242.80,0.014
Celda # 11-C,Au 242.80,0.004
Celda #5-9,Au 242.80,0.009
Celda #(F1+F2),Au 242.80,0.117
NE Tubo 2,Au 242.80,0.115
NE Tubo 4,Au 242.80,0.068
NE Tubo 5,Au 242.80,0.021
NE Tubo 6,Au 242.80,0.071
NE Tubo 7,Au 242.80,0.127
Barren Patios,Au 242.80,0.013
Tubo 3,Au 242.80,0.179
Especial 1,Au 242.80,0.113
Especial 2,Au 242.80,0.036
Especial 3,Au 242.80,0.097
Especial 4,Au 242.80,0.089
Especial 5,Au 242.80,0.032
Columna #1,Au 242.80,0.069
Columna #2,Au 242.80,0.032
Columna #3,Au 242.80,0.006
Columna #4,Au 242.80,0.005
Columna #5,Au 242.80,0.005
