Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,2.178
Cabeza puntual retorno,Cu 324.75,2.172
Celda #(F1+F2),Cu 324.75,1.135
Puntual Noroeste,Cu 324.75,1.177
Tubo 3,Cu 324.75,1.469
Comp. Cola Columna,Cu 324.75,2.174
Barren,Cu 324.75,2.277
Celda # 11-A,Cu 324.75,0.094
Celda # 11-B,Cu 324.75,0.065
Celda # 11-C,Cu 324.75,0.157
Celda # 6-F2,Cu 324.75,0.021
Celda #5-9,Cu 324.75,8.881
NE Tubo 1,Cu 324.75,0.354
NE Tubo 2,Cu 324.75,0.042
NE Tubo 4,Cu 324.75,0.047
NE Tubo 5,Cu 324.75,0.048
NE Tubo 6,Cu 324.75,0.010
NE Tubo 7,Cu 324.75,0.804
Barren Patios,Cu 324.75,1.977
Especial 1,Cu 324.75,5.868
Especial 2,Cu 324.75,6.412
Especial 3,Cu 324.75,0.350
Especial 4,Cu 324.75,0.091
Especial 5,Cu 324.75,6.834
