Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,3.033
Comp. Cola Columna,Cu 324.75,2.8
Barren,Cu 324.75,2.719
Cabeza puntual retorno,Cu 324.75,3.077
Celda # 11-A,Cu 324.75,1.008
Celda # 11-B,Cu 324.75,0.136
Celda # 11-C,Cu 324.75,1.155
Celda #5-9,Cu 324.75,0.277
Celda #(F1+F2),Cu 324.75,2.92
NE Tubo 1,Cu 324.75,0.124
NE Tubo 2,Cu 324.75,0.1
NE Tubo 4,Cu 324.75,2.098
NE Tubo 5,Cu 324.75,2.531
NE Tubo 6,Cu 324.75,0.357
NE Tubo 7,Cu 324.75,10.65
Puntual Noroeste,Cu 324.75,3.281
Barren Patios,Cu 324.75,2.931
Tubo 3,Cu 324.75,0.812
Especial 1,Cu 324.75,0.13
Especial 2,Cu 324.75,0.11
Especial 3,Cu 324.75,0.237
Especial 4,Cu 324.75,0.772
Especial 5,Cu 324.75,0.12
Especial 6,Cu 324.75,0.078
Columna #1,Cu 324.75,2.86
Columna #2,Cu 324.75,2.906
Columna #3,Cu 324.75,2.983
Columna #4,Cu 324.75,2.976
Columna #5,Cu 324.75,2.879
