Analyst,,,,,
Date Started,4/29/2023 12:17 AM  GMT: 4/29/2023 7:17 AM,,,,
Worksheet,LC000504_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
6/16/2023,01:11:24 a. m.,PATRON,0.892,,mg/L
6/16/2023,01:11:38 a. m.,BLANCO,-0.029,,mg/L
6/16/2023,01:11:52 a. m.,REAGENT BLANK,-0.013,,mg/L
6/16/2023,01:12:06 a. m.,LC000504-001,0.110,,mg/L
6/16/2023,01:12:18 a. m.,LC000504-002,0.106,,mg/L
6/16/2023,01:12:30 a. m.,LC000504-003,0.008,,mg/L
6/16/2023,01:12:46 a. m.,LC000504-004,0.148,,mg/L
6/16/2023,01:12:56 a. m.,LC000504-005,0.085,,mg/L
6/16/2023,01:11:24 a. m.,LC000504-006,0.054,,mg/L
6/16/2023,01:11:38 a. m.,PATRON,0.891,,mg/L
6/16/2023,01:11:52 a. m.,LC000504-007,0.221,,mg/L
6/16/2023,01:12:06 a. m.,LC000504-008,0.075,,mg/L
6/16/2023,01:12:18 a. m.,LC000504-009,0.057,,mg/L
6/16/2023,01:12:30 a. m.,LC000504-010,0.227,,mg/L
6/16/2023,01:12:46 a. m.,LC000504-011,0.144,,mg/L
6/16/2023,01:12:56 a. m.,LC000504-012,0.065,,mg/L
6/16/2023,01:11:24 a. m.,PATRON,0.882,,mg/L
6/16/2023,01:11:38 a. m.,LC000504-013,0.103,,mg/L
6/16/2023,01:11:52 a. m.,LC000504-014,0.174,,mg/L
6/16/2023,01:12:06 a. m.,LC000504-015,0.091,,mg/L
6/16/2023,01:12:18 a. m.,LC000504-016,0.070,,mg/L
6/16/2023,01:12:30 a. m.,LC000504-017,1.039,,mg/L
6/16/2023,01:12:46 a. m.,LC000504-018,1.542,,mg/L
6/16/2023,01:12:56 a. m.,PATRON,0.874,,mg/L
6/16/2023,01:11:24 a. m.,LC000504-019,0.646,,mg/L
6/16/2023,01:11:38 a. m.,LC000504-020,1.314,,mg/L
6/16/2023,01:11:52 a. m.,LC000504-021,1.569,,mg/L
6/16/2023,01:12:06 a. m.,LC000504-022,0.879,,mg/L
6/16/2023,01:12:18 a. m.,LC000504-023,1.206,,mg/L
6/16/2023,01:12:30 a. m.,LC000504-024,0.600,,mg/L
6/16/2023,01:12:56 a. m.,PATRON,0.873,,mg/L
,,,,,
Method: Au ALTA (Flame),,,,,
