Sample ID,Analyte Name,Reported Conc (Samp)
Columna #1,Cu 324.75,1.380
Columna #2,Cu 324.75,1.385
Columna #3,Cu 324.75,1.428
Columna #4,Cu 324.75,1.405
Columna #5,Cu 324.75,1.419
Comp. Cabeza Columna,Cu 324.75,1.314
Comp. Cola Columna,Cu 324.75,1.336
Barren,Cu 324.75,1.361
Cabeza puntual retorno,Cu 324.75,1.347
Celda # 11-A,Cu 324.75,0.619
Celda # 11-B,Cu 324.75,0.167
Celda # 11-C,Cu 324.75,0.149
Celda #5-9,Cu 324.75,1.479
Celda #(F1+F2),Cu 324.75,1.519
NE Tubo 1,Cu 324.75,0.136
NE Tubo 2,Cu 324.75,0.238
NE Tubo 4,Cu 324.75,0.826
NE Tubo 5,Cu 324.75,0.156
NE Tubo 6,Cu 324.75,0.341
NE Tubo 7,Cu 324.75,6.955
Puntual Noroeste,Cu 324.75,1.715
Barren Patios,Cu 324.75,1.473
Tubo 3,Cu 324.75,1.723
Especial 1,Cu 324.75,0.369
Especial 2,Cu 324.75,0.166
Especial 3,Cu 324.75,0.226
Especial 4,Cu 324.75,0.352
Especial 5,Cu 324.75,0.224
