Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.167
Comp. Cola Columna,Au 242.80,0.013
Barren,Au 242.80,0.02
Cabeza puntual retorno,Au 242.80,0.167
Celda # 11-A,Au 242.80,0.12
Celda # 11-B,Au 242.80,0.265
Celda # 11-C,Au 242.80,0.262
Celda # 6-F2,Au 242.80,0.024
Celda #5-9,Au 242.80,0.006
Celda #(F1+F2),Au 242.80,0.147
NE Tubo 1,Au 242.80,0.141
NE Tubo 2,Au 242.80,0.11
NE Tubo 4,Au 242.80,0.213
NE Tubo 5,Au 242.80,0.199
NE Tubo 6,Au 242.80,0.107
NE Tubo 7,Au 242.80,0.332
Puntual Noroeste,Au 242.80,0.161
Barren Patios,Au 242.80,0.021
Tubo 3,Au 242.80,0.131
Especial 1,Au 242.80,0.068
Especial 2,Au 242.80,0.028
Especial 3,Au 242.80,0.014
Especial 4,Au 242.80,0.018
Especial 5,Au 242.80,0.01
Especial 6,Au 242.80,0.002
