Analyst,,,,,
Date Started,9/19/2024 6:02 PM  GMT: 9/20/2024 1:02 AM,,,,
Worksheet,EXP000051_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
9/19/2024,6:07:16 PM,PATRON,0.8809,,mg/L
9/19/2024,6:07:36 PM,BLANCO,-0.0071,,mg/L
9/19/2024,6:07:44 PM,REAGENT BLANK,0,,mg/L
9/19/2024,6:08:00 PM,EXP000051-001,0.0402,,mg/L
9/19/2024,6:08:12 PM,EXP000051-002,0.1767,,mg/L
9/19/2024,6:08:28 PM,EXP000051-003,0.1777,,mg/L
9/19/2024,6:08:46 PM,EXP000051-004,0.1292,,mg/L
9/19/2024,6:09:02 PM,EXP000051-005,0.2087,,mg/L
9/19/2024,6:09:20 PM,EXP000051-006,0.4121,,mg/L
9/19/2024,6:09:58 PM,PATRON,0.9054,,mg/L
9/19/2024,6:10:16 PM,EXP000051-007,0.1863,,mg/L
9/19/2024,6:10:30 PM,EXP000051-008,0.6363,,mg/L
9/19/2024,6:10:46 PM,EXP000051-009,0.0027,,mg/L
9/19/2024,6:11:00 PM,EXP000051-010,0.5794,,mg/L
9/19/2024,6:11:16 PM,EXP000051-011,0.0077,,mg/L
9/19/2024,6:11:28 PM,EXP000051-012,0.5436,,mg/L
9/19/2024,6:11:46 PM,PATRON,0.8895,,mg/L
9/19/2024,6:12:04 PM,EXP000051-013,0.4848,,mg/L
9/19/2024,6:12:20 PM,EXP000051-014,1.0007,,mg/L
9/19/2024,6:12:36 PM,EXP000051-015,0.3894,,mg/L
9/19/2024,6:12:52 PM,EXP000051-016,0.1544,,mg/L
9/19/2024,6:13:10 PM,PATRON,0.9016,,mg/L
9/19/2024,6:13:26 PM,BLANCO,0.0016,,mg/L
9/19/2024,6:13:36 PM,REAGENT BLANK,0,,mg/L
,,,,,
