Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.579
Cabeza puntual retorno,Cu 324.75,0.597
Celda #(F1+F2),Cu 324.75,0.563
Puntual Noroeste,Cu 324.75,0.712
Tubo 3,Cu 324.75,0.711
NE Tubo 2,Cu 324.75,0.066
NE Tubo 4,Cu 324.75,0.308
Especial 1,Cu 324.75,0.027
Especial 2,Cu 324.75,0.136
Especial 3,Cu 324.75,0.066
Especial 4,Cu 324.75,0.043
Especial 5,Cu 324.75,0.065
Columna #1,Cu 324.75,0.517
Columna #2,Cu 324.75,0.476
Columna #3,Cu 324.75,0.449
Columna #4,Cu 324.75,0.422
Columna #5,Cu 324.75,0.408
Comp. Cola Columna,Cu 324.75,0.247
Barren,Cu 324.75,0.449
Barren Patios,Cu 324.75,0.312
NE Tubo 1,Cu 324.75,0.704
NE Tubo 5,Cu 324.75,0.016
NE Tubo 6,Cu 324.75,0.02
NE Tubo 7,Cu 324.75,6.122
Celda # 11-A,Cu 324.75,0.062
Celda # 11-B,Cu 324.75,0.049
Celda # 11-C,Cu 324.75,0.043
Celda #5-9,Cu 324.75,0.056
