Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.282
Cabeza puntual retorno,Cu 324.75,0.251
Celda #(F1+F2),Cu 324.75,0.271
Puntual Noroeste,Cu 324.75,0.283
Tubo 3,Cu 324.75,0.48
NE Tubo 2,Cu 324.75,0.044
NE Tubo 4,Cu 324.75,0.05
Especial 1,Cu 324.75,0.076
Especial 2,Cu 324.75,0.037
Especial 3,Cu 324.75,0.141
Especial 4,Cu 324.75,0.152
Especial 5,Cu 324.75,0.128
Columna #1,Cu 324.75,0.23
Columna #2,Cu 324.75,0.246
Columna #3,Cu 324.75,0.244
Columna #4,Cu 324.75,0.261
Columna #5,Cu 324.75,0.259
Comp. Cola Columna,Cu 324.75,0.224
Barren,Cu 324.75,0.228
Barren Patios,Cu 324.75,0.203
NE Tubo 1,Cu 324.75,0.035
NE Tubo 5,Cu 324.75,0.037
NE Tubo 6,Cu 324.75,0.032
NE Tubo 7,Cu 324.75,0.425
Celda # 11-A,Cu 324.75,0.09
Celda # 11-B,Cu 324.75,0.052
Celda # 11-C,Cu 324.75,0.079
Celda #5-9,Cu 324.75,0.77
