Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,1.393
Comp. Cola Columna,Cu 324.75,1.334
Barren,Cu 324.75,1.224
Cabeza puntual retorno,Cu 324.75,1.355
Celda # 11-A,Cu 324.75,9.942
Celda # 11-B,Cu 324.75,3.526
Celda # 11-C,Cu 324.75,0.341
Celda # 6-F2,Cu 324.75,0.384
Celda #5-9,Cu 324.75,0.145
Celda #(F1+F2),Cu 324.75,1.077
NE Tubo 1,Cu 324.75,0.155
NE Tubo 2,Cu 324.75,1.389
NE Tubo 4,Cu 324.75,0.494
NE Tubo 5,Cu 324.75,0.409
NE Tubo 6,Cu 324.75,0.938
NE Tubo 7,Cu 324.75,0.722
Puntual Noroeste,Cu 324.75,1.13
Barren Patios,Cu 324.75,2.25
Tubo 3,Cu 324.75,1.706
Especial 1,Cu 324.75,0.412
Especial 2,Cu 324.75,0.193
Especial 3,Cu 324.75,7.923
Especial 4,Cu 324.75,8.216
Especial 5,Cu 324.75,0.256
