Sample ID,Analyte Name,Reported Conc (Samp)
Columna #1,Au 242.80,0.132
Columna #2,Au 242.80,0.111
Columna #3,Au 242.80,0.077
Columna #4,Au 242.80,0.051
Columna #5,Au 242.80,0.029
Comp. Cabeza Columna,Au 242.80,0.182
Cabeza puntual retorno,Au 242.80,0.178
Celda # 11-A,Au 242.80,0.089
Celda # 11-B,Au 242.80,0.071
Celda # 11-C,Au 242.80,0.032
Celda #5-9,Au 242.80,0.074
Celda #(F1+F2),Au 242.80,0.191
NE Tubo 2,Au 242.80,0.133
NE Tubo 4,Au 242.80,0.288
NE Tubo 5,Au 242.80,0.364
NE Tubo 6,Au 242.80,0.257
NE Tubo 7,Au 242.80,0.143
Puntual Noroeste,Au 242.80,0.189
Tubo 3,Au 242.80,0.101
Especial 1,Au 242.80,0.055
Especial 2,Au 242.80,0.065
Especial 3,Au 242.80,0.039
Especial 4,Au 242.80,0.033
Especial 5,Au 242.80,0.057
Comp. Cola Columna,Au 242.80,0.02
Barren,Au 242.80,0.024
NE Tubo 1,Au 242.80,0.007
Barren Patios,Au 242.80,0.023
