Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.461
Cabeza puntual retorno,Cu 324.75,0.438
Celda #(F1+F2),Cu 324.75,0.430
Puntual Noroeste,Cu 324.75,0.452
Tubo 3,Cu 324.75,0.486
Comp. Cola Columna,Cu 324.75,0.487
Barren,Cu 324.75,0.527
Celda # 11-A,Cu 324.75,0.360
Celda # 11-B,Cu 324.75,0.102
Celda # 11-C,Cu 324.75,0.136
Celda # 6-F2,Cu 324.75,0.068
Celda #5-9,Cu 324.75,0.587
NE Tubo 1,Cu 324.75,0.067
NE Tubo 2,Cu 324.75,0.196
NE Tubo 4,Cu 324.75,0.242
NE Tubo 5,Cu 324.75,0.106
NE Tubo 6,Cu 324.75,0.094
NE Tubo 7,Cu 324.75,1.142
Barren Patios,Cu 324.75,0.537
Especial 1,Cu 324.75,0.196
Especial 2,Cu 324.75,0.165
Especial 3,Cu 324.75,0.151
Especial 4,Cu 324.75,0.158
Especial 5,Cu 324.75,0.171
