Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,12.99
Comp. Cola Columna,Cu 324.75,12.94
Barren,Cu 324.75,12.37
Cabeza puntual retorno,Cu 324.75,13.39
Celda # 11-A,Cu 324.75,26.65
Celda # 11-B,Cu 324.75,45.2
Celda # 11-C,Cu 324.75,28.02
Celda #5-9,Cu 324.75,0.0612
Celda #(F1+F2),Cu 324.75,3.4
NE Tubo 1,Cu 324.75,8.229
NE Tubo 2,Cu 324.75,1.477
NE Tubo 4,Cu 324.75,0.84
NE Tubo 5,Cu 324.75,0.676
NE Tubo 6,Cu 324.75,0.269
NE Tubo 7,Cu 324.75,1.027
Puntual Noroeste,Cu 324.75,1.509
Barren Patios,Cu 324.75,11
Tubo 3,Cu 324.75,2.934
Especial 1,Cu 324.75,0.039
Especial 2,Cu 324.75,0.096
Especial 3,Cu 324.75,0.06
Especial 4,Cu 324.75,0.07
Especial 5,Cu 324.75,0.07
Especial 6,Cu 324.75,0.023
Columna #1,Cu 324.75,13.25
Columna #2,Cu 324.75,13.71
Columna #3,Cu 324.75,13.72
Columna #4,Cu 324.75,13.4
Columna #5,Cu 324.75,13.02
