Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,0.951
Cabeza puntual retorno,Cu 324.75,0.955
Celda #(F1+F2),Cu 324.75,1.071
Puntual Noroeste,Cu 324.75,0.855
Tubo 3,Cu 324.75,1.579
Comp. Cola Columna,Cu 324.75,0.300
Barren,Cu 324.75,0.443
Celda # 11-A,Cu 324.75,0.118
Celda # 11-B,Cu 324.75,0.086
Celda # 11-C,Cu 324.75,0.050
Celda # 6-F2,Cu 324.75,0.473
Celda #5-9,Cu 324.75,0.048
NE Tubo 1,Cu 324.75,4.448
NE Tubo 2,Cu 324.75,0.316
NE Tubo 4,Cu 324.75,0.546
NE Tubo 5,Cu 324.75,0.101
NE Tubo 6,Cu 324.75,0.110
NE Tubo 7,Cu 324.75,0.617
Barren Patios,Cu 324.75,0.573
Especial 1,Cu 324.75,0.080
Especial 2,Cu 324.75,0.064
Especial 3,Cu 324.75,0.075
Especial 4,Cu 324.75,0.090
Especial 5,Cu 324.75,0.063
