Analyst,,,,,,
Date Started,7/15/2025 8:22 PM  GMT: 7/16/2025 3:22 AM,,,,,
Worksheet,LC004961,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au ACIDO (Flame),,,,,,
,,,,,,
7/15/2025,9:17:34 PM,PATRON,0.9227,,mg/L,1.1
7/15/2025,9:17:46 PM,BLANCO,-0.0015,,mg/L,>100
7/15/2025,9:17:56 PM,REAGENT BLANK,0,,mg/L,95.7
7/15/2025,9:18:14 PM,LC004961-001,0.0364,,mg/L,2.8
7/15/2025,9:18:32 PM,LC004961-002,0.0676,,mg/L,0.7
7/15/2025,9:18:48 PM,LC004961-003,0.0836,,mg/L,0.8
7/15/2025,9:19:04 PM,LC004961-004,0.0291,,mg/L,1.9
7/15/2025,9:19:20 PM,LC004961-005,0.0906,,mg/L,0.5
7/15/2025,9:19:40 PM,LC004961-006,0.053,,mg/L,1
7/15/2025,9:19:58 PM,PATRON,0.9147,,mg/L,1.1
7/15/2025,9:20:20 PM,LC004961-007,0.0451,,mg/L,1.8
7/15/2025,9:20:34 PM,LC004961-008,0.0567,,mg/L,1.8
7/15/2025,9:20:50 PM,LC004961-009,0.0772,,mg/L,0.5
7/15/2025,9:21:24 PM,LC004961-010,0.0014,,mg/L,87.9
7/15/2025,9:21:42 PM,LC004961-011,0.0359,,mg/L,1.8
7/15/2025,9:22:02 PM,LC004961-012,0.0001,,mg/L,>100
7/15/2025,9:22:22 PM,PATRON,0.9186,,mg/L,1.1
7/15/2025,9:22:36 PM,LC004961-013,0.1295,,mg/L,1.3
7/15/2025,9:22:52 PM,LC004961-014,-0.0014,,mg/L,>100
7/15/2025,9:23:06 PM,LC004961-015,0.1074,,mg/L,0.8
7/15/2025,9:23:20 PM,LC004961-016,0.0797,,mg/L,0.5
7/15/2025,9:23:32 PM,LC004961-017,0.1479,,mg/L,0.6
7/15/2025,9:23:48 PM,LC004961-018,0.4413,,mg/L,0.4
7/15/2025,9:24:04 PM,PATRON,0.9218,,mg/L,1
7/15/2025,9:24:22 PM,BLANCO,-0.005,,mg/L,38
7/15/2025,9:24:32 PM,REAGENT BLANK,0,,mg/L,30.3
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
