Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.154
Comp. Cola Columna,Au 242.80,0.013
Barren,Au 242.80,0.012
Cabeza puntual retorno,Au 242.80,0.157
Celda # 11-A,Au 242.80,0.132
Celda # 11-B,Au 242.80,0.162
Celda # 11-C,Au 242.80,0.125
Celda # 6-F2,Au 242.80,0.081
Celda #5-9,Au 242.80,0.005
Celda #(F1+F2),Au 242.80,0.163
NE Tubo 1,Au 242.80,0.141
NE Tubo 2,Au 242.80,0.107
NE Tubo 4,Au 242.80,0.169
NE Tubo 5,Au 242.80,0.089
NE Tubo 6,Au 242.80,0.041
NE Tubo 7,Au 242.80,0.161
Puntual Noroeste,Au 242.80,0.166
Tubo 3,Au 242.80,0.243
Especial 1,Au 242.80,0.05
Especial 2,Au 242.80,0.019
Especial 3,Au 242.80,0.024
Especial 4,Au 242.80,0.01
Especial 5,Au 242.80,0.011
Especial 6,Au 242.80,0.006
