Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.275
Cabeza puntual retorno,Cu 324.75,0.288
Celda #(F1+F2),Cu 324.75,0.309
Puntual Noroeste,Cu 324.75,0.279
Tubo 3,Cu 324.75,0.155
NE Tubo 2,Cu 324.75,0.082
NE Tubo 4,Cu 324.75,0.088
Especial 1,Cu 324.75,0.041
Especial 2,Cu 324.75,0.043
Especial 3,Cu 324.75,0.103
Especial 4,Cu 324.75,0.201
Especial 5,Cu 324.75,0.105
Comp. Cola Columna,Cu 324.75,0.284
Barren,Cu 324.75,0.286
Barren Patios,Cu 324.75,0.315
NE Tubo 1,Cu 324.75,0.05
NE Tubo 5,Cu 324.75,0.082
NE Tubo 6,Cu 324.75,0.062
NE Tubo 7,Cu 324.75,0.983
Celda # 11-A,Cu 324.75,0.241
Celda # 11-B,Cu 324.75,0.291
Celda # 11-C,Cu 324.75,0.096
Celda # 6-F2,Cu 324.75,0.051
Celda #5-9,Cu 324.75,0.049
