Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,0.378
Comp. Cola Columna,Cu 324.75,0.266
Barren,Cu 324.75,0.293
Cabeza puntual retorno,Cu 324.75,0.349
Celda # 11-A,Cu 324.75,0.115
Celda # 11-B,Cu 324.75,0.07
Celda # 11-C,Cu 324.75,0.155
Celda # 6-F2,Cu 324.75,0.077
Celda #5-9,Cu 324.75,0.301
Celda #(F1+F2),Cu 324.75,0.433
NE Tubo 1,Cu 324.75,0.045
NE Tubo 2,Cu 324.75,0.136
NE Tubo 4,Cu 324.75,0.171
NE Tubo 5,Cu 324.75,0.082
NE Tubo 6,Cu 324.75,0.128
NE Tubo 7,Cu 324.75,0.11
Puntual Noroeste,Cu 324.75,0.394
Barren Patios,Cu 324.75,0.272
Tubo 3,Cu 324.75,1.316
Especial 1,Cu 324.75,0.067
Especial 2,Cu 324.75,0.058
Especial 3,Cu 324.75,0.088
Especial 4,Cu 324.75,0.124
Especial 5,Cu 324.75,0.079
Especial 6,Cu 324.75,0.033
