Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.707
Cabeza puntual retorno,Cu 324.75,0.706
Celda #(F1+F2),Cu 324.75,0.551
Puntual Noroeste,Cu 324.75,0.637
Tubo 3,Cu 324.75,1.186
Comp. Cola Columna,Cu 324.75,0.731
Barren,Cu 324.75,0.704
Celda # 11-A,Cu 324.75,0.091
Celda # 11-B,Cu 324.75,0.147
Celda # 11-C,Cu 324.75,1.877
Celda #5-9,Cu 324.75,6.494
NE Tubo 1,Cu 324.75,0.161
NE Tubo 2,Cu 324.75,0.113
NE Tubo 4,Cu 324.75,0.063
NE Tubo 5,Cu 324.75,0.060
NE Tubo 6,Cu 324.75,0.047
NE Tubo 7,Cu 324.75,0.372
Barren Patios,Cu 324.75,0.621
Especial 1,Cu 324.75,1.146
Especial 2,Cu 324.75,0.912
Especial 3,Cu 324.75,0.123
Especial 4,Cu 324.75,0.125
Especial 5,Cu 324.75,0.658
Columna #1,Cu 324.75,0.623
Columna #2,Cu 324.75,0.604
Columna #3,Cu 324.75,0.597
Columna #4,Cu 324.75,0.585
Columna #5,Cu 324.75,0.583
