Sample ID,Analyte Name,Reported Conc (Samp)
Columna #1,Au 242.80,0.04
Columna #2,Au 242.80,0.032
Columna #3,Au 242.80,0.023
Columna #4,Au 242.80,0.013
Columna #5,Au 242.80,0.004
Comp. Cabeza Columna,Au 242.80,0.051
Cabeza puntual retorno,Au 242.80,0.05
Celda # 11-A,Au 242.80,0.033
Celda #(F1+F2),Au 242.80,0.048
NE Tubo 2,Au 242.80,0.031
NE Tubo 6,Au 242.80,0.111
NE Tubo 7,Au 242.80,0.096
Puntual Noroeste,Au 242.80,0.053
Tubo 3,Au 242.80,0.076
Especial 1,Au 242.80,0.104
Especial 2,Au 242.80,0.135
Especial 3,Au 242.80,0.058
Especial 4,Au 242.80,0.032
Especial 5,Au 242.80,0.112
Comp. Cola Columna,Au 242.80,0.004
Barren,Au 242.80,0.006
Celda # 11-B,Au 242.80,0.002
Celda # 11-C,Au 242.80,0.011
Celda #5-9,Au 242.80,0.021
NE Tubo 1,Au 242.80,0.003
NE Tubo 4,Au 242.80,0.006
NE Tubo 5,Au 242.80,0.009
Barren Patios,Au 242.80,0.006
