Sample ID,Analyte Name,Reported Conc (Samp)
Columna #1,Au 242.80,0.094
Columna #2,Au 242.80,0.065
Columna #3,Au 242.80,0.049
Columna #4,Au 242.80,0.036
Columna #5,Au 242.80,0.02
Comp. Cabeza Columna,Au 242.80,0.097
Cabeza puntual retorno,Au 242.80,0.099
Celda #5-9,Au 242.80,0.227
Celda #(F1+F2),Au 242.80,0.087
Puntual Noroeste,Au 242.80,0.093
Tubo 3,Au 242.80,0.095
Especial 1,Au 242.80,0.125
Especial 2,Au 242.80,0.146
Especial 5,Au 242.80,0.196
Comp. Cola Columna,Au 242.80,0.017
Barren,Au 242.80,0.017
Celda # 11-A,Au 242.80,0.066
Celda # 11-B,Au 242.80,0.003
Celda # 11-C,Au 242.80,0.03
NE Tubo 1,Au 242.80,0.019
NE Tubo 2,Au 242.80,0.055
NE Tubo 4,Au 242.80,0.025
NE Tubo 5,Au 242.80,0.018
NE Tubo 6,Au 242.80,0.01
NE Tubo 7,Au 242.80,0.028
Barren Patios,Au 242.80,0.019
Especial 3,Au 242.80,0.018
Especial 4,Au 242.80,0.004
