Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cab Columna,Au 242.80,0.139
Comp. Cola Columna,Au 242.80,0.015
Barren,Au 242.80,0.018
Cabeza puntual retorno,Au 242.80,137
Celda # 11-A,Au 242.80,0.053
Celda # 11-B,Au 242.80,0.07
Celda # 11-C,Au 242.80,0.059
Celda # 6-F2,Au 242.80,0.065
Celda #5-9,Au 242.80,0.09
Celda #(F1+F2),Au 242.80,0.14
NE Tubo 1,Au 242.80,0.002
NE Tubo 2,Au 242.80,0.111
NE Tubo 4,Au 242.80,0.128
NE Tubo 5,Au 242.80,0.047
NE Tubo 6,Au 242.80,0.033
NE Tubo 7,Au 242.80,0.078
Puntual Noroeste,Au 242.80,0.151
Barren Patios,Au 242.80,0.018
Tubo 3,Au 242.80,0.187
Especial 1,Au 242.80,0.088
Especial 2,Au 242.80,0.045
Especial 3,Au 242.80,0.024
Especial 4,Au 242.80,0.025
Especial 5,Au 242.80,0.062
Especial 6,Au 242.80,0.13
