Sample ID,Analyte Name,Reported Conc (Samp)
52,Ag 328.07,-0.007
53,Ag 328.07,-0.007
54,Ag 328.07,-0.003
55,Ag 328.07,-0.001
56,Ag 328.07,0.003
57,Ag 328.07,0.007
58,Ag 328.07,0.029
59,Ag 328.07,0.016
62,Ag 328.07,0.113
63,Ag 328.07,0.098
COL. 1,Ag 328.07,0.000
COL. 2,Ag 328.07,0.008
COL. 3,Ag 328.07,0.007
COL. 4,Ag 328.07,0.016
COL. 5,Ag 328.07,0.200
COL. 6,Ag 328.07,0.451
375-1,Ag 328.07,0.011
375-2,Ag 328.07,-0.010
375-3,Ag 328.07,0.012
375-4,Ag 328.07,-0.007
VM 1,Ag 328.07,0.008
VM 2,Ag 328.07,-0.010
VM 3,Ag 328.07,-0.007
VM 4,Ag 328.07,0.302
VM 5,Ag 328.07,0.063
VM 6,Ag 328.07,0.006
VM 7,Ag 328.07,-0.010
VM 8,Ag 328.07,0.052
VM 9,Ag 328.07,0.112
