Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,3.246
Comp. Cola Columna,Cu 324.75,3.281
Barren,Cu 324.75,3.389
Cabeza puntual retorno,Cu 324.75,3.331
Celda # 11-A,Cu 324.75,1.677
Celda # 11-B,Cu 324.75,0.116
Celda # 11-C,Cu 324.75,0.193
Celda #5-9,Cu 324.75,0.244
Celda #(F1+F2),Cu 324.75,3.308
NE Tubo 1,Cu 324.75,0.04
NE Tubo 2,Cu 324.75,0.055
NE Tubo 4,Cu 324.75,2.146
NE Tubo 5,Cu 324.75,2.965
NE Tubo 6,Cu 324.75,0.348
NE Tubo 7,Cu 324.75,11.72
Puntual Noroeste,Cu 324.75,3.423
Barren Patios,Cu 324.75,3.065
Tubo 3,Cu 324.75,1.01
Especial 1,Cu 324.75,0.122
Especial 2,Cu 324.75,0.101
Especial 3,Cu 324.75,0.221
Especial 4,Cu 324.75,0.829
Especial 5,Cu 324.75,0.094
Especial 6,Cu 324.75,0.055
Columna #1,Cu 324.75,2.701
Columna #2,Cu 324.75,2.732
Columna #3,Cu 324.75,2.695
Columna #4,Cu 324.75,2.669
Columna #5,Cu 324.75,2.634
