Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.102
Comp. Cola Columna,Au 242.80,0.005
Barren,Au 242.80,0.009
Cabeza puntual retorno,Au 242.80,0.102
Celda # 11-A,Au 242.80,0.074
Celda # 11-B,Au 242.80,0.023
Celda # 11-C,Au 242.80,0.002
Celda # 6-F2,Au 242.80,0.097
Celda #5-9,Au 242.80,0.055
Celda #(F1+F2),Au 242.80,0.097
NE Tubo 1,Au 242.80,0.002
NE Tubo 2,Au 242.80,0.051
NE Tubo 4,Au 242.80,0.062
NE Tubo 5,Au 242.80,0.024
NE Tubo 6,Au 242.80,0.018
NE Tubo 7,Au 242.80,0.081
Puntual Noroeste,Au 242.80,0.102
Barren Patios,Au 242.80,0.014
Tubo 3,Au 242.80,0.145
Especial 1,Au 242.80,0.116
Especial 2,Au 242.80,0.031
Especial 3,Au 242.80,0.01
Especial 4,Au 242.80,0.005
Especial 5,Au 242.80,0.028
Especial 6,Au 242.80,0.002
