Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.126
Comp. Cola Columna,Au 242.80,0.013
Barren,Au 242.80,0.015
Cabeza puntual retorno,Au 242.80,0.128
Celda # 11-A,Au 242.80,0.087
Celda # 11-B,Au 242.80,0.006
Celda # 11-C,Au 242.80,0.006
Celda #5-9,Au 242.80,0.024
Celda #(F1+F2),Au 242.80,0.137
NE Tubo 1,Au 242.80,0.003
NE Tubo 2,Au 242.80,0.151
NE Tubo 4,Au 242.80,0.095
NE Tubo 5,Au 242.80,0.09
NE Tubo 6,Au 242.80,0.149
NE Tubo 7,Au 242.80,0.066
Puntual Noroeste,Au 242.80,0.136
Barren Patios,Au 242.80,0.016
Tubo 3,Au 242.80,0.196
Especial 1,Au 242.80,0.027
Especial 2,Au 242.80,0.063
Especial 3,Au 242.80,0.053
Especial 4,Au 242.80,0.054
Especial 5,Au 242.80,0.045
Columna #1,Au 242.80,0.102
Columna #2,Au 242.80,0.069
Columna #3,Au 242.80,0.034
Columna #4,Au 242.80,0.023
Columna #5,Au 242.80,0.014
