Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,0.828
Cabeza puntual retorno,Cu 324.75,0.786
Celda #(F1+F2),Cu 324.75,0.781
Puntual Noroeste,Cu 324.75,0.789
Tubo 3,Cu 324.75,1.031
Comp. Cola Columna,Cu 324.75,0.518
Barren,Cu 324.75,0.724
Celda # 11-A,Cu 324.75,0.142
Celda # 11-B,Cu 324.75,0.062
Celda # 11-C,Cu 324.75,0.041
Celda #5-9,Cu 324.75,0.030
NE Tubo 2,Cu 324.75,0.572
NE Tubo 4,Cu 324.75,0.798
NE Tubo 5,Cu 324.75,0.285
NE Tubo 6,Cu 324.75,0.380
Especial 7,Cu 324.75,0.460
Barren Patios,Cu 324.75,0.593
Especial 1,Cu 324.75,0.072
Especial 2,Cu 324.75,0.039
Especial 3,Cu 324.75,0.180
Especial 4,Cu 324.75,0.148
Especial 5,Cu 324.75,0.045
Columna #1,Cu 324.75,0.700
Columna #2,Cu 324.75,0.653
Columna #3,Cu 324.75,0.673
Columna #4,Cu 324.75,0.559
Columna #5,Cu 324.75,0.549
