"Analista",""
"Fecha de inicio","01:03 a. m. 12/02/2023"
"Hoja de trabajo","Sa000340_6"
"Comentario",""
"Métodos","Ag"

"Método: Ag VHAAAG (Llama)"

"Ag","PATRON",1.0171,"","mg/L",1.0,0.1293,0.1307,0.1281,0.1291
"Ag","BLANCO",-0.0045,"","mg/L",84.5,-0.0006,-0.0009,0.0000,-0.0008
"Ag","BLANCO REACTIVO",0.0000,"","mg/L",63.2,0.0017,0.0028,0.0007,0.0016
"Ag","SA000340-001",2.6795,"","mg/L",4.2,0.0141,0.0148,0.0138,0.0137
"Ag","SA000340-002",3.4474,"","mg/L",4.0,0.0182,0.0177,0.0179,0.0191
"Ag","SA000340-003",11.1554,"","mg/L",2.6,0.0583,0.0565,0.0594,0.0589
"Ag","SA000340-004",3.6231,"","mg/L",3.6,0.0188,0.0182,0.0195,0.0186
"Ag","SA000340-005",4.3893,"","mg/L",1.9,0.0228,0.0229,0.0224,0.0233
"Ag","PATRON",1.0106,"","mg/L",0.3,0.1313,0.1317,0.1309,0.1312
"Ag","SA000340-006",4.1391,"","mg/L",4.1,0.0220,0.0211,0.0220,0.0229
"Ag","SA000340-007",26.4030,"","mg/L",1.2,0.1385,0.1370,0.1384,0.1402
"Ag","SA000340-008",2.0867,"","mg/L",1.4,0.0110,0.0108,0.0110,0.0111
"Ag","SA000340-009",3.6035,"","mg/L",1.4,0.0194,0.0194,0.0197,0.0192
"Ag","SA000340-010",5.1054,"","mg/L",3.5,0.0270,0.0273,0.0259,0.0278
"Ag","PATRON",1.0167,"","mg/L",1.1,0.1320,0.1307,0.1337,0.1318
"Ag","BLANCO",-0.0006,"","mg/L",">100",-0.0001,-0.0005,0.0006,-0.0004
"Ag","BLANCO REACTIVO",0.0000,"","mg/L",">100",0.0006,0.0003,0.0017,-0.0001
"Ag","SA000340-011",4.3764,"","mg/L",0.8,0.0241,0.0243,0.0242,0.0239
"Ag","SA000340-012",6.0451,"","mg/L",1.7,0.0324,0.0330,0.0322,0.0320
"Ag","SA000340-013",6.6404,"","mg/L",2.1,0.0350,0.0358,0.0343,0.0349
"Ag","SA000340-014",3.7164,"","mg/L",2.6,0.0198,0.0192,0.0202,0.0200
"Ag","SA000340-015",3.0833,"","mg/L",3.0,0.0164,0.0162,0.0160,0.0169
"Ag","PATRON",0.9978,"","mg/L",0.4,0.1296,0.1299,0.1300,0.1290
"Ag","SA000340-016",2.3597,"","mg/L",5.2,0.0127,0.0120,0.0133,0.0128
"Ag","SA000340-017",4.7623,"","mg/L",3.2,0.0258,0.0267,0.0255,0.0252
"Ag","SA000340-018",-0.0629,"","mg/L",">100",-0.0003,-0.0006,-0.0006,0.0002
"Ag","SA000340-019",0.2241,"","mg/L",27.9,0.0012,0.0016,0.0010,0.0010
"Ag","SA000340-020",3.0609,"","mg/L",2.1,0.0165,0.0169,0.0164,0.0162
"Ag","PATRON",1.0189,"","mg/L",0.2,0.1323,0.1324,0.1326,0.1320
"Ag","BLANCO",-0.0019,"","mg/L",">100",-0.0002,-0.0004,-0.0005,0.0001
"Ag","BLANCO REACTIVO",0.0000,"","mg/L",">100",0.0001,-0.0008,-0.0001,0.0013
"Ag","SA000340-021",3.3847,"","mg/L",6.0,0.0181,0.0192,0.0170,0.0180
"Ag","SA000340-022",4.0938,"","mg/L",2.1,0.0221,0.0227,0.0218,0.0220
"Ag","SA000340-023",3.0981,"","mg/L",3.5,0.0168,0.0161,0.0171,0.0172
"Ag","SA000340-024",2.1016,"","mg/L",16.9,0.0115,0.0125,0.0128,0.0093
"Ag","SA000340-025",2.3011,"","mg/L",3.2,0.0123,0.0123,0.0127,0.0119
"Ag","PATRON",1.0077,"","mg/L",1.3,0.1309,0.1312,0.1290,0.1324
"Ag","SA000340-026",2.5291,"","mg/L",6.3,0.0135,0.0142,0.0137,0.0125
"Ag","SA000340-027",1.9680,"","mg/L",3.4,0.0106,0.0110,0.0105,0.0103
"Ag","SA000340-028",1.9376,"","mg/L",1.4,0.0103,0.0105,0.0102,0.0103
"Ag","SA000340-029",1.8818,"","mg/L",1.4,0.0100,0.0099,0.0101,0.0101
"Ag","SA000340-030",2.0213,"","mg/L",12.9,0.0106,0.0097,0.0122,0.0100
"Ag","PATRON",0.9864,"","mg/L",1.5,0.1282,0.1263,0.1302,0.1281
"Ag","BLANCO",-0.0008,"","mg/L",">100",-0.0001,0.0015,-0.0008,-0.0010
"Ag","BLANCO REACTIVO",0.0000,"","mg/L",">100",-0.0002,0.0001,-0.0007,-0.0001
"Ag","SA000340-031",4.3340,"","mg/L",3.5,0.0226,0.0218,0.0234,0.0225
"Ag","SA000340-032",2.2644,"","mg/L",4.8,0.0120,0.0126,0.0117,0.0116
"Ag","PATRON",0.9924,"","mg/L",1.8,0.1290,0.1273,0.1316,0.1280
"Ag","BLANCO",0.0054,"","mg/L",79.9,0.0007,0.0011,0.0010,0.0001
