Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,1.013
Cabeza puntual retorno,Cu 324.75,0.965
Celda #(F1+F2),Cu 324.75,1.016
Puntual Noroeste,Cu 324.75,1.069
Tubo 3,Cu 324.75,2.870
Comp. Cola Columna,Cu 324.75,0.753
Barren,Cu 324.75,1.000
Celda # 11-A,Cu 324.75,0.073
Celda # 11-B,Cu 324.75,0.058
Celda # 11-C,Cu 324.75,0.206
Celda #5-9,Cu 324.75,0.300
NE Tubo 1,Cu 324.75,0.030
NE Tubo 2,Cu 324.75,0.327
NE Tubo 4,Cu 324.75,0.793
NE Tubo 5,Cu 324.75,0.047
NE Tubo 6,Cu 324.75,0.105
NE Tubo 7,Cu 324.75,0.667
Barren Patios,Cu 324.75,0.987
Especial 1,Cu 324.75,0.040
Especial 2,Cu 324.75,0.023
Especial 3,Cu 324.75,1.037
Especial 4,Cu 324.75,1.472
Especial 5,Cu 324.75,0.087
Columna #1,Cu 324.75,0.898
Columna #2,Cu 324.75,0.919
Columna #3,Cu 324.75,0.940
Columna #4,Cu 324.75,0.938
Columna #5,Cu 324.75,0.952
